run,peak_infection,total_abx_days,abx_days_per_baby,selection_events,transmission_R,total_recoveries,cumulative_I_R,scenario
1,4.0,242.0,24.2,6.0,109.0,49.0,205.0,B
2,4.0,357.0,35.7,7.0,68.0,49.0,115.0,B
3,4.0,328.0,46.86,4.0,98.0,55.0,168.0,B
4,6.0,260.0,260.0,6.0,107.0,42.0,167.0,B
5,5.0,479.0,47.9,10.0,49.0,42.0,79.0,B
6,5.0,430.0,107.5,9.0,31.0,42.0,119.0,B
7,4.0,419.0,83.8,19.0,41.0,40.0,130.0,B
8,7.0,294.0,49.0,7.0,94.0,40.0,194.0,B
9,5.0,233.0,23.3,5.0,102.0,44.0,191.0,B
10,5.0,309.0,103.0,7.0,82.0,49.0,160.0,B
11,6.0,290.0,29.0,10.0,89.0,46.0,179.0,B
12,5.0,268.0,26.8,6.0,99.0,42.0,227.0,B
13,7.0,434.0,72.33,8.0,75.0,62.0,145.0,B
14,6.0,234.0,23.4,5.0,112.0,45.0,230.0,B
15,6.0,363.0,36.3,5.0,73.0,54.0,132.0,B
16,7.0,309.0,30.9,7.0,90.0,46.0,226.0,B
17,7.0,492.0,49.2,20.0,35.0,63.0,76.0,B
18,5.0,372.0,46.5,14.0,75.0,51.0,144.0,B
19,7.0,340.0,34.0,8.0,80.0,46.0,156.0,B
20,5.0,336.0,112.0,17.0,44.0,38.0,58.0,B
21,5.0,305.0,61.0,6.0,91.0,50.0,193.0,B
22,6.0,276.0,27.6,9.0,117.0,46.0,234.0,B
23,4.0,391.0,195.5,11.0,71.0,55.0,141.0,B
24,5.0,257.0,25.7,6.0,93.0,48.0,194.0,B
25,6.0,374.0,37.4,7.0,47.0,51.0,110.0,B
26,5.0,230.0,32.86,3.0,116.0,52.0,222.0,B
27,5.0,414.0,41.4,12.0,52.0,60.0,106.0,B
28,5.0,343.0,34.3,9.0,82.0,56.0,170.0,B
29,5.0,373.0,93.25,8.0,68.0,58.0,90.0,B
30,4.0,259.0,64.75,8.0,106.0,45.0,160.0,B
31,5.0,147.0,147.0,2.0,123.0,35.0,221.0,B
32,5.0,359.0,359.0,15.0,61.0,55.0,62.0,B
33,5.0,207.0,34.5,5.0,106.0,43.0,154.0,B
34,6.0,455.0,45.5,11.0,37.0,53.0,65.0,B
35,4.0,532.0,53.2,26.0,27.0,48.0,68.0,B
36,6.0,335.0,41.88,9.0,91.0,46.0,191.0,B
37,5.0,361.0,36.1,9.0,87.0,45.0,184.0,B
38,5.0,336.0,33.6,8.0,90.0,43.0,200.0,B
39,5.0,243.0,24.3,9.0,122.0,40.0,250.0,B
40,5.0,364.0,36.4,10.0,62.0,41.0,163.0,B
41,5.0,270.0,67.5,1.0,119.0,47.0,231.0,B
42,6.0,356.0,178.0,10.0,66.0,42.0,138.0,B
43,5.0,411.0,51.38,11.0,41.0,62.0,117.0,B
44,5.0,249.0,41.5,5.0,124.0,52.0,236.0,B
45,5.0,299.0,42.71,9.0,86.0,44.0,189.0,B
46,5.0,266.0,26.6,6.0,112.0,45.0,309.0,B
47,6.0,452.0,64.57,14.0,29.0,52.0,86.0,B
48,6.0,425.0,42.5,11.0,55.0,46.0,129.0,B
49,5.0,430.0,43.0,9.0,43.0,51.0,105.0,B
50,4.0,440.0,73.33,14.0,25.0,60.0,64.0,B
51,6.0,398.0,66.33,16.0,72.0,46.0,160.0,B
52,6.0,281.0,40.14,7.0,101.0,41.0,176.0,B
53,5.0,312.0,31.2,11.0,76.0,51.0,175.0,B
54,5.0,349.0,34.9,9.0,88.0,71.0,180.0,B
55,5.0,370.0,37.0,12.0,76.0,47.0,114.0,B
56,5.0,294.0,29.4,8.0,86.0,53.0,208.0,B
57,6.0,351.0,35.1,12.0,74.0,53.0,166.0,B
58,5.0,238.0,23.8,8.0,87.0,42.0,192.0,B
59,5.0,426.0,213.0,10.0,41.0,48.0,48.0,B
60,6.0,423.0,52.88,9.0,42.0,50.0,108.0,B
61,5.0,284.0,31.56,9.0,88.0,43.0,169.0,B
62,5.0,232.0,23.2,7.0,124.0,48.0,201.0,B
63,4.0,523.0,52.3,18.0,22.0,52.0,63.0,B
64,5.0,438.0,43.8,15.0,44.0,53.0,119.0,B
65,4.0,352.0,35.2,9.0,69.0,50.0,124.0,B
66,5.0,318.0,35.33,2.0,77.0,40.0,173.0,B
67,5.0,346.0,49.43,11.0,51.0,47.0,121.0,B
68,6.0,334.0,37.11,7.0,95.0,57.0,204.0,B
69,4.0,292.0,29.2,7.0,97.0,45.0,164.0,B
70,6.0,284.0,28.4,7.0,88.0,45.0,141.0,B
71,4.0,339.0,84.75,9.0,80.0,49.0,127.0,B
72,6.0,227.0,22.7,5.0,125.0,64.0,244.0,B
73,5.0,391.0,39.1,11.0,64.0,52.0,120.0,B
74,5.0,302.0,100.67,7.0,81.0,45.0,145.0,B
75,5.0,485.0,48.5,11.0,28.0,60.0,110.0,B
76,7.0,265.0,53.0,5.0,104.0,54.0,198.0,B
77,5.0,390.0,65.0,12.0,45.0,57.0,98.0,B
78,5.0,361.0,36.1,12.0,86.0,52.0,182.0,B
79,5.0,502.0,50.2,9.0,29.0,51.0,64.0,B
80,5.0,325.0,40.62,10.0,86.0,51.0,151.0,B
81,4.0,454.0,227.0,1.0,7.0,54.0,10.0,B
82,6.0,353.0,35.3,12.0,75.0,52.0,192.0,B
83,4.0,239.0,47.8,5.0,128.0,52.0,217.0,B
84,3.0,476.0,59.5,12.0,40.0,47.0,93.0,B
85,6.0,250.0,25.0,7.0,123.0,49.0,212.0,B
86,5.0,356.0,356.0,8.0,52.0,57.0,77.0,B
87,4.0,273.0,39.0,6.0,100.0,51.0,179.0,B
88,6.0,364.0,121.33,8.0,72.0,52.0,164.0,B
89,5.0,304.0,33.78,9.0,95.0,43.0,163.0,B
90,5.0,311.0,103.67,12.0,79.0,50.0,240.0,B
91,4.0,398.0,79.6,17.0,61.0,50.0,109.0,B
92,6.0,385.0,77.0,10.0,58.0,41.0,150.0,B
93,5.0,383.0,383.0,14.0,53.0,49.0,109.0,B
94,5.0,279.0,27.9,4.0,105.0,55.0,234.0,B
95,5.0,438.0,438.0,11.0,14.0,55.0,27.0,B
96,5.0,472.0,157.33,12.0,51.0,50.0,102.0,B
97,4.0,307.0,76.75,12.0,82.0,44.0,150.0,B
98,5.0,451.0,45.1,11.0,37.0,53.0,72.0,B
99,6.0,452.0,45.2,17.0,58.0,60.0,173.0,B
100,6.0,457.0,152.33,18.0,32.0,45.0,121.0,B
1,6.0,265.0,26.5,3.0,77.0,45.0,135.0,A
2,5.0,334.0,33.4,12.0,69.0,61.0,134.0,A
3,4.0,329.0,32.9,6.0,42.0,50.0,90.0,A
4,6.0,325.0,32.5,7.0,64.0,51.0,165.0,A
5,6.0,318.0,31.8,6.0,89.0,58.0,202.0,A
6,5.0,281.0,28.1,6.0,84.0,54.0,126.0,A
7,6.0,366.0,61.0,5.0,0.0,59.0,24.0,A
8,6.0,396.0,39.6,7.0,32.0,61.0,79.0,A
9,4.0,345.0,34.5,8.0,15.0,52.0,40.0,A
10,4.0,260.0,26.0,7.0,44.0,44.0,96.0,A
11,5.0,352.0,70.4,10.0,48.0,53.0,75.0,A
12,5.0,320.0,32.0,7.0,31.0,60.0,45.0,A
13,4.0,365.0,182.5,7.0,8.0,55.0,22.0,A
14,4.0,301.0,30.1,6.0,97.0,51.0,158.0,A
15,6.0,276.0,27.6,3.0,117.0,49.0,310.0,A
16,3.0,380.0,38.0,14.0,24.0,49.0,54.0,A
17,5.0,384.0,128.0,9.0,9.0,55.0,27.0,A
18,5.0,296.0,29.6,4.0,70.0,47.0,114.0,A
19,5.0,340.0,170.0,8.0,26.0,64.0,30.0,A
20,4.0,233.0,23.3,5.0,105.0,44.0,138.0,A
21,4.0,294.0,58.8,5.0,78.0,46.0,164.0,A
22,5.0,274.0,27.4,5.0,95.0,52.0,199.0,A
23,5.0,365.0,36.5,7.0,35.0,64.0,92.0,A
24,6.0,259.0,259.0,3.0,51.0,48.0,114.0,A
25,5.0,361.0,361.0,8.0,24.0,59.0,59.0,A
26,3.0,274.0,Inf,3.0,2.0,54.0,6.0,A
27,5.0,286.0,95.33,7.0,91.0,39.0,186.0,A
28,5.0,351.0,35.1,6.0,78.0,67.0,149.0,A
29,5.0,282.0,70.5,7.0,62.0,55.0,132.0,A
30,5.0,369.0,36.9,10.0,52.0,54.0,135.0,A
31,4.0,260.0,86.67,8.0,69.0,52.0,130.0,A
32,3.0,318.0,159.0,8.0,28.0,46.0,34.0,A
33,5.0,317.0,45.29,8.0,85.0,49.0,197.0,A
34,5.0,311.0,34.56,4.0,29.0,50.0,77.0,A
35,5.0,322.0,53.67,7.0,47.0,58.0,59.0,A
36,6.0,263.0,43.83,4.0,109.0,48.0,209.0,A
37,6.0,280.0,31.11,4.0,102.0,59.0,190.0,A
38,6.0,373.0,37.3,6.0,8.0,46.0,45.0,A
39,4.0,285.0,95.0,4.0,54.0,55.0,70.0,A
40,4.0,290.0,290.0,10.0,19.0,36.0,56.0,A
41,5.0,321.0,32.1,9.0,34.0,40.0,72.0,A
42,6.0,271.0,33.88,7.0,65.0,49.0,153.0,A
43,4.0,312.0,31.2,8.0,35.0,48.0,94.0,A
